Order ID,Customer,Product,Qty,Amount,Status,Date
ORD-1001,Arun,Laptop Pro,2,148000,Delivered,2026-08-01
ORD-1002,Priya,Monitor X,3,72000,Cancelled,2026-08-01
ORD-1003,Arun,Laptop Pro,1,74000,Returned,2026-08-02
ORD-1004,Meena,Keyboard K2,5,15000,Delivered,2026-08-02
ORD-1005,Rahul,Mouse M5,10,12000,Delivered,2026-08-02
ORD-1006,Priya,Laptop Pro,1,76000,Delivered,2026-08-03
ORD-1007,Karthik,Monitor X,2,48000,Delivered,2026-08-03
ORD-1008,Arun,Mouse M5,4,4800,Delivered,2026-08-03
ORD-1009,Meena,Laptop Pro,1,74000,Pending,2026-08-04
ORD-1010,Rahul,Monitor X,1,24000,Returned,2026-08-04
ORD-1011,Priya,Keyboard K2,2,6000,Delivered,2026-08-04
ORD-1012,Karthik,Laptop Pro,2,152000,Delivered,2026-08-05
ORD-1013,Arun,Monitor X,1,24000,Cancelled,2026-08-05
ORD-1014,Meena,Mouse M5,6,7200,Delivered,2026-08-05
ORD-1015,Rahul,Laptop Pro,1,76000,Delivered,2026-08-06
ORD-1016,Priya,Monitor X,4,96000,Delivered,2026-08-06
ORD-1017,Karthik,Keyboard K2,3,9000,Returned,2026-08-06
ORD-1018,Arun,Laptop Pro,1,74000,Delivered,2026-08-07
ORD-1019,Meena,Monitor X,2,48000,Cancelled,2026-08-07
ORD-1020,Rahul,Mouse M5,8,9600,Delivered,2026-08-07
ORD-1021,Priya,Laptop Pro,2,152000,Pending,2026-08-08
ORD-1022,Karthik,Monitor X,3,72000,Delivered,2026-08-08
ORD-1023,Arun,Keyboard K2,4,12000,Delivered,2026-08-08
ORD-1024,Meena,Laptop Pro,1,76000,Returned,2026-08-09
ORD-1025,Rahul,Monitor X,2,48000,Delivered,2026-08-09
ORD-1026,Priya,Mouse M5,5,6000,Delivered,2026-08-09
ORD-1027,Karthik,Laptop Pro,1,74000,Cancelled,2026-08-10
ORD-1028,Arun,Monitor X,2,48000,Delivered,2026-08-10
ORD-1029,Meena,Keyboard K2,1,3000,Delivered,2026-08-10
ORD-1030,Rahul,Laptop Pro,2,152000,Delivered,2026-08-11
ORD-1031,Priya,Monitor X,1,24000,Returned,2026-08-11
ORD-1032,Karthik,Mouse M5,7,8400,Delivered,2026-08-11
ORD-1033,Arun,Laptop Pro,3,222000,Pending,2026-08-12
ORD-1034,Meena,Monitor X,1,24000,Delivered,2026-08-12
ORD-1035,Rahul,Keyboard K2,5,15000,Delivered,2026-08-12
ORD-1036,Priya,Laptop Pro,1,76000,Cancelled,2026-08-13
ORD-1037,Karthik,Monitor X,2,48000,Returned,2026-08-13
ORD-1038,Arun,Mouse M5,3,3600,Delivered,2026-08-13
ORD-1039,Meena,Laptop Pro,2,148000,Delivered,2026-08-14
ORD-1040,Rahul,Monitor X,4,96000,Pending,2026-08-14
ORD-1041,Priya,Keyboard K2,6,18000,Delivered,2026-08-14
ORD-1042,Arun,Laptop Pro,2,148000,Delivered,2026-08-15
ORD-1043,Priya,Monitor X,3,72000,Cancelled,2026-08-15
ORD-1044,Arun,Laptop Pro,1,74000,Returned,2026-08-16
ORD-1045,Karthik,Laptop Pro,2,152000,Delivered,2026-08-16
ORD-1046,Meena,Mouse M5,10,12000,Delivered,2026-08-16
ORD-1047,Rahul,Laptop Pro,1,76000,Returned,2026-08-17
ORD-1048,Priya,Monitor X,2,48000,Delivered,2026-08-17
ORD-1049,Arun,Keyboard K2,2,6000,Delivered,2026-08-17
ORD-1050,Meena,Laptop Pro,1,74000,Pending,2026-08-18
ORD-1051,Rahul,Monitor X,3,72000,Delivered,2026-08-18
ORD-1052,Karthik,Keyboard K2,4,12000,Cancelled,2026-08-18
ORD-1053,Priya,Laptop Pro,2,152000,Delivered,2026-08-19
ORD-1054,Arun,Monitor X,1,24000,Returned,2026-08-19
ORD-1055,Meena,Keyboard K2,7,21000,Delivered,2026-08-19
ORD-1056,Rahul,Mouse M5,4,4800,Delivered,2026-08-20
ORD-1057,Karthik,Laptop Pro,1,76000,Pending,2026-08-20
ORD-1058,Priya,Monitor X,3,72000,Delivered,2026-08-20
ORD-1059,Arun,Laptop Pro,1,74000,Delivered,2026-08-21
ORD-1060,Meena,Monitor X,2,48000,Returned,2026-08-21
